OBJECTID,location,population,population_white,population_white_only,population_hispanic,population_black,population_asian,population_native,population_native_islander,population_other,population_two_or_more,male_population,population_white_male,population_white_only_male,population_hispanic_male,population_black_male,population_asian_male,population_native_male,population_native_islander_male,population_other_male,population_two_or_more_male,female_population,population_white_female,population_white_only_female,population_hispanic_female,population_black_female,population_asian_female,population_native_female,population_native_islander_female,population_other_female,population_two_or_more_female,pct_white,pct_white_only,pct_hispanic,pct_black,pct_asian,pct_native,pct_native_islander,pct_other,pct_two_or_more,pop_num,pop_white_num,pop_black_num,pop_white_only_num,pop_hispanic_num,pop_native_islander_num,pop_other_num,pop_two_or_more_num,pop_native_num,pop_asian_num,majority_race,GEOIDFQ
1897,"San Diego County, California",3282782,1740220,1417346,1127221,154596,401057,31001,13796,348079,594033,1660156,888542,730155,562866,84631,189609,16119,7015,174875,299365,1622626,851678,687191,564355,69965,211448,14882,6781,173204,294668,53.01052583,43.1751484,34.33736995,4.709298394,12.21698547,0.944351468,0.42025331,10.60317133,18.09541419,3282782,1740220,154596,1417346,1127221,13796,348079,594033,31001,401057,White,0500000US06073
1898,"Salinas Municipio, Puerto Rico",25397,4461,42,25178,2689,0,43,0,1202,17002,12237,2121,19,12160,1485,0,18,0,605,8008,13160,2340,23,13018,1204,0,25,0,597,8994,17.56506674,0.165373863,99.13769343,10.58786471,0,0.169311336,0,4.732842462,66.94491475,25397,4461,2689,42,25178,0,1202,17002,43,0,Hispanic/Latino,0500000US72123
1899,"Crawford County, Georgia",12183,8940,8803,466,2620,0,84,0,226,313,6311,4611,4510,353,1327,0,38,0,200,135,5872,4329,4293,113,1293,0,46,0,26,178,73.38094066,72.25642288,3.825002052,21.50537634,0,0.689485348,0,1.855043914,2.569153739,12183,8940,2620,8803,466,0,226,313,84,0,White,0500000US13079
1900,"Naguabo Municipio, Puerto Rico",23205,4507,111,22959,298,0,0,0,17319,1081,10731,2097,36,10594,171,0,0,0,8146,317,12474,2410,75,12365,127,0,0,0,9173,764,19.42253825,0.478345184,98.93988365,1.28420599,0,0,0,74.63477699,4.658478776,23205,4507,298,111,22959,0,17319,1081,0,0,Hispanic/Latino,0500000US72103
1901,"Cass County, Missouri",109393,93594,92350,5828,4970,773,259,118,2050,7629,53660,45896,45258,2964,2638,316,112,64,1032,3602,55733,47698,47092,2864,2332,457,147,54,1018,4027,85.55757681,84.42039253,5.327580375,4.54325231,0.706626567,0.236761036,0.107867962,1.873977311,6.973938003,109393,93594,4970,92350,5828,118,2050,7629,259,773,White,0500000US29037
1902,"Dutchess County, New York",297144,210504,199670,44153,29383,10202,1509,139,16375,29032,147902,103860,98511,22608,15061,4997,871,89,8102,14922,149242,106644,101159,21545,14322,5205,638,50,8273,14110,70.84241984,67.19637617,14.85912554,9.888471583,3.433352179,0.507834585,0.046778666,5.510796112,9.770347037,297144,210504,29383,199670,44153,139,16375,29032,1509,10202,White,0500000US36027
1903,"Washington County, Texas",36156,24952,22304,6557,5486,493,145,0,1028,4052,17843,12076,10778,3421,2751,214,94,0,548,2160,18313,12876,11526,3136,2735,279,51,0,480,1892,69.01205886,61.68823985,18.13530258,15.17313862,1.363535789,0.401039938,0,2.843234871,11.20699192,36156,24952,5486,22304,6557,0,1028,4052,145,493,White,0500000US48477
1904,"Pueblo County, Colorado",168726,125637,87111,70812,3510,1448,3758,115,12329,21929,83770,61918,42861,35197,2132,708,1874,34,6313,10791,84956,63719,44250,35615,1378,740,1884,81,6016,11138,74.46214573,51.62867608,41.96863554,2.080295864,0.858196129,2.227279732,0.068157842,7.307113308,12.9968114,168726,125637,3510,87111,70812,115,12329,21929,3758,1448,White,0500000US08101
1905,"Douglas County, Missouri",11850,10996,10990,112,112,9,134,0,33,566,6010,5541,5541,79,57,0,84,0,24,304,5840,5455,5449,33,55,9,50,0,9,262,92.79324895,92.74261603,0.945147679,0.945147679,0.075949367,1.130801688,0,0.278481013,4.776371308,11850,10996,112,10990,112,0,33,566,134,9,White,0500000US29067
1906,"Bottineau County, North Dakota",6390,5806,5729,156,27,40,286,0,46,185,3314,3034,2972,111,27,3,147,0,20,83,3076,2772,2757,45,0,37,139,0,26,102,90.86071987,89.65571205,2.441314554,0.422535211,0.625978091,4.475743349,0,0.719874804,2.89514867,6390,5806,27,5729,156,0,46,185,286,40,White,0500000US38009
1907,"Cumberland County, North Carolina",336749,147878,136681,41644,125737,8900,4106,1235,14380,34513,167214,76608,70822,21503,60072,3919,1913,668,6906,17128,169535,71270,65859,20141,65665,4981,2193,567,7474,17385,43.91341919,40.58839076,12.36648067,37.33849247,2.642918019,1.219305774,0.366741995,4.270242822,10.24887973,336749,147878,125737,136681,41644,1235,14380,34513,4106,8900,White,0500000US37051
1908,"Hot Springs County, Wyoming",4618,4207,4107,181,0,11,47,0,41,312,2336,2128,2112,51,0,0,6,0,41,161,2282,2079,1995,130,0,11,41,0,0,151,91.10004331,88.93460372,3.919445647,0,0.238198354,1.017756605,0,0.88783023,6.756171503,4618,4207,0,4107,181,0,41,312,47,11,White,0500000US56017
1909,"Alcona County, Michigan",10310,9727,9676,157,28,41,58,0,89,367,5187,4927,4884,81,17,2,23,0,46,172,5123,4800,4792,76,11,39,35,0,43,195,94.34529583,93.85063046,1.522793404,0.271580989,0.397672163,0.562560621,0,0.863239573,3.559650824,10310,9727,28,9676,157,0,89,367,58,41,White,0500000US26001
1910,"Placer County, California",412435,299005,277453,63412,6816,37124,2033,750,16362,50345,202878,146764,136002,31806,3543,17051,874,319,8442,25885,209557,152241,141451,31606,3273,20073,1159,431,7920,24460,72.49748445,67.27193376,15.37502879,1.65262405,9.001175943,0.492926158,0.181846836,3.967170584,12.20677198,412435,299005,6816,277453,63412,750,16362,50345,2033,37124,White,0500000US06061
1911,"Searcy County, Arkansas",7861,6935,6932,172,6,17,93,0,29,781,3941,3458,3455,55,2,0,68,0,16,397,3920,3477,3477,117,4,17,25,0,13,384,88.2203282,88.18216512,2.188016792,0.076326167,0.216257474,1.183055591,0,0.368909808,9.935122758,7861,6935,6,6932,172,0,29,781,93,17,White,0500000US05129
