OBJECTID,location,Metropolitan_Nonmetropolitan,crime_majority,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,GEOIDFQ
233,"Champaign County, Ohio",Nonmetropolitan County,Property Crimes,302,21,0,5,0,16,129,11,110,8,2,6.953642384,0,1.655629139,0,5.298013245,42.71523179,3.642384106,36.42384106,2.649006623,0.662251656,0500000US39021
234,"Sullivan County, New Hampshire",Nonmetropolitan County,Property Crimes,8,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,50,12.5,37.5,0,0,0500000US33019
235,"Iroquois County, Illinois",Nonmetropolitan County,Property Crimes,290,31,1,3,2,25,114,36,70,8,0,10.68965517,0.344827586,1.034482759,0.689655172,8.620689655,39.31034483,12.4137931,24.13793103,2.75862069,0,0500000US17075
236,"Poweshiek County, Iowa",Nonmetropolitan County,Property Crimes,128,19,0,8,0,11,45,11,24,10,0,14.84375,0,6.25,0,8.59375,35.15625,8.59375,18.75,7.8125,0,0500000US19157
237,"Wayne County, Ohio",Nonmetropolitan County,Property Crimes,840,46,0,18,1,27,373,101,246,26,2,5.476190476,0,2.142857143,0.119047619,3.214285714,44.4047619,12.02380952,29.28571429,3.095238095,0.238095238,0500000US39169
238,"Fayette County, Georgia",Metropolitan County,Property Crimes,477,30,1,2,3,24,208,36,146,26,1,6.289308176,0.209643606,0.419287212,0.628930818,5.031446541,43.60587002,7.547169811,30.60796646,5.450733753,0.209643606,0500000US13113
239,"Hancock County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,0500000US13141
240,"Kendall County, Texas",Metropolitan County,Property Crimes,254,24,0,4,0,20,103,23,59,21,0,9.448818898,0,1.57480315,0,7.874015748,40.5511811,9.05511811,23.22834646,8.267716535,0,0500000US48259
241,"Greene County, New York",Nonmetropolitan County,Property Crimes,80,17,0,3,0,14,23,6,15,2,0,21.25,0,3.75,0,17.5,28.75,7.5,18.75,2.5,0,0500000US36039
242,"Orange County, Virginia",Nonmetropolitan County,Property Crimes,370,62,1,9,0,52,123,8,105,10,0,16.75675676,0.27027027,2.432432432,0,14.05405405,33.24324324,2.162162162,28.37837838,2.702702703,0,0500000US51137
243,"McCurtain County, Oklahoma",Nonmetropolitan County,Property Crimes,701,46,1,4,1,40,298,82,171,45,13,6.562054208,0.142653352,0.570613409,0.142653352,5.706134094,42.510699,11.69757489,24.39372325,6.419400856,1.854493581,0500000US40089
244,"Tift County, Georgia",Nonmetropolitan County,Property Crimes,1314,171,2,10,13,146,484,105,313,66,4,13.01369863,0.152207002,0.761035008,0.98934551,11.11111111,36.83409437,7.99086758,23.82039574,5.02283105,0.304414003,0500000US13277
245,"Cass County, Nebraska",Metropolitan County,Property Crimes,178,14,0,6,2,6,75,11,60,4,0,7.865168539,0,3.370786517,1.123595506,3.370786517,42.13483146,6.179775281,33.70786517,2.247191011,0,0500000US31025
246,"Kingsbury County, South Dakota",Nonmetropolitan County,Property Crimes,18,1,0,0,0,1,8,4,4,0,0,5.555555556,0,0,0,5.555555556,44.44444444,22.22222222,22.22222222,0,0,0500000US46077
247,"Converse County, Wyoming",Nonmetropolitan County,Property Crimes,66,4,0,1,0,3,29,4,20,5,0,6.060606061,0,1.515151515,0,4.545454545,43.93939394,6.060606061,30.3030303,7.575757576,0,0500000US56009
248,"Herkimer County, New York",Metropolitan County,Property Crimes,22,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,50,0,50,0,0,0500000US36043
249,"Logan County, North Dakota",,,,,,,,,,,,,,,,,,,,,,,,0500000US38047
250,"Gogebic County, Michigan",Nonmetropolitan County,Property Crimes,18,4,0,0,0,4,5,2,2,1,0,22.22222222,0,0,0,22.22222222,27.77777778,11.11111111,11.11111111,5.555555556,0,0500000US26053
251,"Becker County, Minnesota",Nonmetropolitan County,Property Crimes,250,36,1,4,1,30,88,18,64,6,2,14.4,0.4,1.6,0.4,12,35.2,7.2,25.6,2.4,0.8,0500000US27005
252,"Marshall County, Alabama",Nonmetropolitan County,Property Crimes,1170,40,1,14,1,24,545,454,70,21,0,3.418803419,0.085470085,1.196581197,0.085470085,2.051282051,46.58119658,38.8034188,5.982905983,1.794871795,0,0500000US01095
253,"Wilkinson County, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,0500000US28157
254,"Yakutat City and Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,0500000US02282
255,"Sheridan County, Kansas",Nonmetropolitan County,Property Crimes,8,1,0,0,0,1,3,0,0,3,0,12.5,0,0,0,12.5,37.5,0,0,37.5,0,0500000US20179
256,"Leake County, Mississippi",Nonmetropolitan County,Property Crimes,280,54,1,5,2,46,86,20,58,8,0,19.28571429,0.357142857,1.785714286,0.714285714,16.42857143,30.71428571,7.142857143,20.71428571,2.857142857,0,0500000US28079
257,"Caguas Municipio, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,0500000US72025
258,"Camuy Municipio, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,0500000US72027
259,"Clay County, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,0500000US28025
260,"Franklin County, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,0500000US28037
261,"Vega Alta Municipio, Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,0500000US72143
262,"Boone County, Iowa",Metropolitan County,Property Crimes,54,11,0,2,0,9,16,5,9,2,0,20.37037037,0,3.703703704,0,16.66666667,29.62962963,9.259259259,16.66666667,3.703703704,0,0500000US19015
263,"Polk County, Texas",Nonmetropolitan County,Property Crimes,877,48,3,14,1,30,390,112,227,51,1,5.473204105,0.342075257,1.596351197,0.114025086,3.420752566,44.46978335,12.77080958,25.88369441,5.815279361,0.114025086,0500000US48373
264,"Dixon County, Nebraska",Nonmetropolitan County,Violent Crimes,28,7,0,2,0,5,7,1,5,1,0,25,0,7.142857143,0,17.85714286,25,3.571428571,17.85714286,3.571428571,0,0500000US31051
