OBJECTID,location,Metropolitan_Nonmetropolitan,crime_majority,All_Crime,Violent_Crime,Murder_and_Nonnegligent_Manslaughter,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary,Larceny_theft,Motor_Vehicle_Theft,Arson,pct_violent,pct_murder,pct_rape,pct_robbery,pct_assault,pct_property,pct_burglary,pct_larceny,pct_vehicle,pct_arson,GEOIDFQ
2554,"Shawano County, Wisconsin",Nonmetropolitan County,Property Crimes,399,29,0,9,0,20,170,33,119,18,1,7.268170426,0,2.255639098,0,5.012531328,42.60651629,8.270676692,29.8245614,4.511278195,0.250626566,0500000US55115
2555,"Audubon County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,0500000US19009
2556,"Haskell County, Texas",Nonmetropolitan County,Property Crimes,19,1,0,1,0,0,8,1,5,2,1,5.263157895,0,5.263157895,0,0,42.10526316,5.263157895,26.31578947,10.52631579,5.263157895,0500000US48207
2557,"Logan County, Oklahoma",Metropolitan County,Property Crimes,512,37,2,9,0,26,217,52,140,25,4,7.2265625,0.390625,1.7578125,0,5.078125,42.3828125,10.15625,27.34375,4.8828125,0.78125,0500000US40083
2558,"Oneida County, New York",Metropolitan County,Property Crimes,462,39,1,28,0,10,191,37,140,14,2,8.441558442,0.216450216,6.060606061,0,2.164502165,41.34199134,8.008658009,30.3030303,3.03030303,0.432900433,0500000US36065
2559,"Lake County, Colorado",Nonmetropolitan County,Property Crimes,64,14,0,0,1,13,18,6,11,1,0,21.875,0,0,1.5625,20.3125,28.125,9.375,17.1875,1.5625,0,0500000US08065
2560,"Pittsburg County, Oklahoma",Nonmetropolitan County,Property Crimes,621,49,1,6,0,42,261,91,120,50,1,7.890499195,0.161030596,0.966183575,0,6.763285024,42.02898551,14.65378422,19.3236715,8.051529791,0.161030596,0500000US40121
2561,"Doddridge County, West Virginia",Nonmetropolitan County,Property Crimes,110,16,1,0,0,15,39,11,22,6,0,14.54545455,0.909090909,0,0,13.63636364,35.45454545,10,20,5.454545455,0,0500000US54017
2562,"Wirt County, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,0500000US54105
2563,"Carroll County, New Hampshire",Nonmetropolitan County,Property Crimes,68,1,0,0,0,1,33,4,23,6,0,1.470588235,0,0,0,1.470588235,48.52941176,5.882352941,33.82352941,8.823529412,0,0500000US33003
2564,"Tyler County, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,0500000US54095
2565,"Kent County, Michigan",Metropolitan County,Property Crimes,5173,409,0,105,13,291,2171,174,1794,203,13,7.90643727,0,2.029769959,0.251304852,5.625362459,41.9679103,3.36361879,34.68006959,3.924221922,0.251304852,0500000US26081
2566,"Pitt County, North Carolina",Metropolitan County,Property Crimes,1551,193,5,4,17,167,580,146,387,47,5,12.44358478,0.322372663,0.25789813,1.096067054,10.76724694,37.39522888,9.413281754,24.9516441,3.03030303,0.322372663,0500000US37147
