OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
1,"Kiowa County, Oklahoma",42063,44540,48242,26154,23333,0,0,0,28125,36250,0500000US40075
2,"Lake County, South Dakota",73792,74129,75028,0,0,0,0,0,0,0,0500000US46079
3,"Caswell County, North Carolina",59407,59709,59801,105446,56133,0,0,0,133510,64712,0500000US37033
4,"Presidio County, Texas",29014,28507,35389,22693,0,0,0,0,0,41987,0500000US48377
5,"Greene County, Ohio",85218,87013,86751,99265,64250,138889,85536,0,64000,75653,0500000US39057
6,"Willacy County, Texas",45645,47762,71411,42561,0,0,0,0,76667,40940,0500000US48489
7,"Bayamón Municipio, Puerto Rico",30729,33819,26607,30688,32350,0,0,0,31488,28256,0500000US72021
8,"Los Alamos County, New Mexico",143188,152725,153739,91912,250000,126917,152143,0,66618,134792,0500000US35028
9,"Choctaw County, Oklahoma",45456,46915,46970,45313,28991,0,61875,0,83750,40132,0500000US40023
10,"Dickinson County, Kansas",67982,69572,69125,92333,0,0,33667,0,0,44183,0500000US20041
11,"Starr County, Texas",38182,41273,49955,37748,0,0,0,0,44907,30619,0500000US48427
12,"Effingham County, Georgia",85465,90466,90340,92450,67109,108000,16181,0,95269,103578,0500000US13103
13,"Roger Mills County, Oklahoma",62721,65625,66607,62143,0,0,0,0,75625,0,0500000US40129
14,"Richland County, Wisconsin",62649,64084,64247,41779,0,0,0,0,53194,35469,0500000US55103
15,"Lea County, New Mexico",68750,76788,79226,60165,62981,106250,66469,0,64918,53500,0500000US35025
16,"Lamar County, Alabama",47447,52948,53031,0,23867,0,0,0,0,0,0500000US01075
17,"Florida Municipio, Puerto Rico",21213,23119,0,21042,0,0,0,0,11886,23906,0500000US72054
18,"Marshall County, Tennessee",70829,75016,75575,66016,52964,0,13861,0,95625,49868,0500000US47117
19,"Appomattox County, Virginia",62337,66278,65170,76373,51726,0,0,0,0,40417,0500000US51011
20,"Madison County, Arkansas",53888,56353,56224,77292,0,163750,41198,0,42230,45321,0500000US05087
21,"St. Charles Parish, Louisiana",82172,96981,95983,101534,43298,147903,180182,0,97375,99135,0500000US22089
22,"Poinsett County, Arkansas",47188,52252,52319,29375,31974,0,0,0,24097,27462,0500000US05111
23,"Gulf County, Florida",67361,68011,67903,54500,58393,0,0,0,0,73698,0500000US12045
24,"Hamblen County, Tennessee",52794,55808,56016,49948,28967,0,0,0,0,50229,0500000US47063
25,"Ballard County, Kentucky",64740,66495,66471,70368,0,0,0,0,0,0,0500000US21007
26,"Archer County, Texas",71958,72956,72936,69875,0,0,0,0,69000,70341,0500000US48009
27,"Baylor County, Texas",42313,41959,41922,25806,0,0,0,0,0,55948,0500000US48023
28,"San Augustine County, Texas",46338,58569,58602,35054,26893,0,0,0,29097,66389,0500000US48405
29,"Storey County, Nevada",96000,89375,84976,116117,0,0,0,0,0,116681,0500000US32029
30,"Schley County, Georgia",59647,61410,61603,0,33427,0,0,0,0,67045,0500000US13249
31,"Madison County, Texas",67128,73545,76929,60146,52361,0,0,0,0,70588,0500000US48313
32,"San Joaquin County, California",88531,91753,96013,77870,72447,110181,75771,127560,78271,83367,0500000US06077
33,"Winston County, Mississippi",49071,67143,67340,27697,30598,0,28233,0,0,0,0500000US28159
34,"Henry County, Kentucky",60736,59803,59555,89779,65192,128229,0,0,137308,64583,0500000US21103
35,"Mercer County, Kentucky",63115,64608,64746,58542,49844,0,0,0,98654,70750,0500000US21167
36,"Wheeler County, Nebraska",55893,55179,55357,99375,0,0,0,0,0,0,0500000US31183
37,"Lewis County, Kentucky",41632,41654,41654,0,0,0,0,0,0,21818,0500000US21135
38,"Grant County, Minnesota",72957,74357,74071,90417,0,0,0,0,81250,38333,0500000US27051
39,"Humphreys County, Mississippi",32976,64844,64844,0,26812,0,0,0,0,63333,0500000US28053
40,"Clarke County, Alabama",49167,63045,63250,0,36368,0,0,0,0,48750,0500000US01025
41,"Chase County, Kansas",54518,54857,54696,97609,0,0,0,0,0,50917,0500000US20017
42,"Trigg County, Kentucky",54630,57867,58257,40846,43719,0,0,0,0,28897,0500000US21221
43,"Jasper County, Iowa",70128,70891,70982,47759,61184,105179,0,0,48793,41364,0500000US19099
44,"Wayne County, Mississippi",36791,53497,53497,0,24274,0,0,0,0,91250,0500000US28153
45,"Cottle County, Texas",58819,73977,77688,0,16167,0,0,0,0,65368,0500000US48101
46,"Greensville County, Virginia",56759,61831,61279,0,51250,0,0,0,0,90192,0500000US51081
47,"Polk County, Florida",63644,67467,67848,60950,49548,68776,61771,0,55466,64483,0500000US12105
48,"Young County, Texas",63723,66188,68052,51544,0,0,0,0,45901,77955,0500000US48503
49,"Tallapoosa County, Alabama",57185,64202,64155,41161,31188,56711,0,0,68304,46094,0500000US01123
50,"Rockingham County, New Hampshire",113927,113968,114096,106197,96886,116360,176042,66900,122790,107052,0500000US33015
51,"Rio Grande County, Colorado",62166,62023,69646,59792,0,0,118686,0,0,68849,0500000US08105
52,"Plymouth County, Iowa",81600,81707,82438,74504,63892,0,115625,0,113399,60893,0500000US19149
53,"Yates County, New York",67521,68350,68471,62679,0,38720,0,0,0,53906,0500000US36123
54,"King County, Washington",122148,126907,128016,89684,65975,151389,62961,83087,78453,105227,0500000US53033
55,"Deschutes County, Oregon",87640,88579,89590,69566,57904,111429,0,73704,62842,85602,0500000US41017
56,"Pottawattamie County, Iowa",71446,72787,72793,54436,41648,0,73333,0,52266,57847,0500000US19155
57,"Christian County, Missouri",81245,81059,81193,71082,110089,87755,87121,0,51538,89375,0500000US29043
58,"Ciales Municipio, Puerto Rico",20614,19910,0,20721,35179,0,23971,0,23942,20346,0500000US72039
59,"Lamar County, Mississippi",69106,76191,77862,41556,48818,92703,0,0,41905,69000,0500000US28073
60,"Ripley County, Indiana",71084,70863,70623,98535,0,0,0,0,97559,86458,0500000US18137
61,"Mercer County, North Dakota",79405,82193,82478,0,0,0,60735,0,0,0,0500000US38057
62,"Hart County, Georgia",57241,66098,67740,50563,46049,240826,0,0,46291,50313,0500000US13147
63,"Jackson Parish, Louisiana",43345,50872,51480,0,31737,0,14005,0,0,25769,0500000US22049
64,"Northumberland County, Virginia",69500,78446,77770,0,39034,0,0,0,0,42375,0500000US51133
65,"Fort Bend County, Texas",113409,126661,132992,88718,92138,135301,81969,0,77251,93836,0500000US48157
66,"Green Lake County, Wisconsin",66917,67677,67197,59375,0,111250,0,0,47857,58000,0500000US55047
67,"Pondera County, Montana",53500,59310,59310,19107,0,0,36875,0,0,19464,0500000US30073
68,"Walworth County, Wisconsin",77359,78333,78349,74487,44375,60955,67417,0,74765,72917,0500000US55127
69,"Mineral County, Nevada",50584,52057,50807,75027,0,0,37875,0,0,50357,0500000US32021
70,"Howard County, Indiana",62496,65850,66165,63204,38093,49479,0,0,48544,56282,0500000US18067
71,"Pike County, Indiana",66250,66673,66673,0,0,0,-2500,0,0,49063,0500000US18125
72,"Christian County, Kentucky",54190,56950,56924,55732,41571,97739,37115,0,48510,47200,0500000US21047
73,"Eaton County, Michigan",78025,78893,79687,75878,56364,93482,0,0,83941,82131,0500000US26045
74,"Wapello County, Iowa",60034,60475,60100,71167,43125,0,0,0,95096,63652,0500000US19179
75,"Imperial County, California",56393,57360,67775,54739,49849,115034,59583,0,51532,58615,0500000US06025
76,"Cass County, Michigan",68011,69502,69958,47849,38696,0,55795,0,166389,54211,0500000US26027
77,"Bristol County, Rhode Island",110926,110415,110749,114514,0,91383,0,0,110938,124055,0500000US44001
78,"Bosque County, Texas",69339,69887,69272,66146,83125,0,0,0,71990,58883,0500000US48035
79,"Newport County, Rhode Island",100859,106724,107957,40481,66700,84167,38737,0,39223,92242,0500000US44005
80,"Fairfield County, Ohio",87069,88415,88263,50304,93611,83860,21290,0,37088,68071,0500000US39045
81,"Pierce County, North Dakota",63214,62857,62857,0,0,0,0,0,0,0,0500000US38069
82,"Carroll County, Illinois",60871,61440,61491,29095,96250,0,0,0,28109,66964,0500000US17015
83,"Red Lake County, Minnesota",77500,78220,78561,0,0,0,61563,0,0,39375,0500000US27125
84,"Jefferson County, Oregon",73051,73596,73957,79192,0,150714,50326,0,61111,79826,0500000US41031
85,"Cheatham County, Tennessee",82015,82886,82803,73973,0,0,140625,0,0,72835,0500000US47021
86,"McCone County, Montana",71842,73125,73125,0,0,0,0,0,0,0,0500000US30055
87,"Buchanan County, Iowa",78430,80028,80784,40611,75119,0,0,0,46250,50250,0500000US19019
88,"DuPage County, Illinois",110502,115049,117008,87157,68842,135635,96458,106389,81538,94187,0500000US17043
89,"Fall River County, South Dakota",61056,63056,62911,0,0,0,14137,0,0,76157,0500000US46047
90,"Kittson County, Minnesota",69615,71875,72500,43500,0,0,0,0,122917,42750,0500000US27069
91,"Oconee County, Georgia",115925,116998,115246,171786,53707,157966,113558,0,86726,160492,0500000US13219
92,"Wilson County, Texas",92461,98765,101054,80992,160192,0,0,0,89088,68652,0500000US48493
93,"Fillmore County, Nebraska",76354,77717,77649,106042,0,0,0,0,0,70875,0500000US31059
94,"Madison County, Florida",48176,58763,58080,60000,32404,0,0,0,0,43958,0500000US12079
95,"Carolina Municipio, Puerto Rico",35126,35690,60197,34990,33230,38750,55417,0,31549,40730,0500000US72031
96,"Sullivan County, Indiana",54985,55610,55610,34191,0,0,0,0,0,33162,0500000US18153
97,"La Paz County, Arizona",49506,48949,48816,48750,0,98571,54007,0,45142,51490,0500000US04012
98,"Brooks County, Georgia",47656,61318,61081,37692,25072,0,0,0,60682,33897,0500000US13027
99,"Aleutians West Census Area, Alaska",107344,143021,143021,115000,49583,96484,72500,166250,96250,163750,0500000US02016
100,"Kodiak Island Borough, Alaska",83716,92500,89095,93672,0,73462,51006,0,133194,100298,0500000US02150
101,"Stafford County, Kansas",63786,65750,64414,60625,0,0,0,0,28958,52353,0500000US20185
102,"Telfair County, Georgia",44948,52594,50852,62926,30577,0,0,0,0,0,0500000US13271
103,"Monroe County, Michigan",75272,76802,76355,88688,28026,69432,75714,0,41525,71464,0500000US26115
104,"White County, Indiana",66143,66207,66215,61563,108664,60250,0,0,54954,49716,0500000US18181
105,"Noble County, Indiana",70908,71496,71245,78233,0,66336,150893,0,71250,65256,0500000US18113
106,"Greene County, Georgia",84530,101055,100893,0,43782,0,0,0,69107,84485,0500000US13133
107,"Buffalo County, South Dakota",47000,78438,88500,0,0,0,40789,0,0,0,0500000US46017
108,"Mellette County, South Dakota",51364,68667,68667,0,0,0,15313,0,0,32159,0500000US46095
109,"Ector County, Texas",71031,75834,82610,64908,65021,118355,72428,0,60897,60891,0500000US48135
110,"Limestone County, Texas",58109,62390,64157,54107,34715,86875,0,0,0,55441,0500000US48293
111,"Grays Harbor County, Washington",63539,63259,63599,59154,147500,67279,51250,118917,59391,63636,0500000US53027
112,"Berkeley County, West Virginia",77329,77314,77247,90932,76293,59738,0,0,102321,72157,0500000US54003
113,"Villalba Municipio, Puerto Rico",24882,27951,0,24882,22527,0,0,0,21821,23411,0500000US72149
114,"Park County, Montana",66607,70182,70284,42083,0,0,26521,0,60125,49171,0500000US30067
115,"Denton County, Texas",108185,113831,116984,84526,77652,145682,78325,89750,81733,95045,0500000US48121
116,"Cherokee County, South Carolina",49047,54285,54640,39868,36931,0,66118,0,46886,44853,0500000US45021
117,"Yancey County, North Carolina",54961,55239,54934,50792,0,59000,0,0,50292,64417,0500000US37199
118,"Red River County, Texas",46912,55536,55938,53292,24932,0,0,0,0,60000,0500000US48387
119,"Matagorda County, Texas",55174,69477,68635,48671,35582,0,0,0,37647,56985,0500000US48321
120,"Stevens County, Minnesota",71060,72396,72483,96375,22759,0,14167,0,96375,66518,0500000US27149
121,"Warren County, Georgia",46776,60117,56875,60282,38464,0,0,0,0,0,0500000US13301
122,"Hardeman County, Texas",61179,53974,54744,78307,0,125625,0,0,0,79323,0500000US48197
123,"Monroe County, Illinois",101635,102090,102410,86078,0,0,0,0,86471,99896,0500000US17133
124,"Jenkins County, Georgia",36906,48438,49563,26458,22428,0,0,0,0,0,0500000US13165
125,"Grayson County, Kentucky",49893,50281,50484,47888,0,0,0,0,0,48625,0500000US21085
126,"Palo Pinto County, Texas",64972,66998,68095,51692,80625,95625,99044,0,47212,51750,0500000US48363
127,"Heard County, Georgia",62907,60521,60667,0,75313,0,0,0,0,69773,0500000US13149
128,"Lawrence County, Alabama",60040,62735,62788,53750,41875,121382,99250,0,44333,54632,0500000US01079
129,"Guaynabo Municipio, Puerto Rico",46048,53665,106086,45249,30273,0,0,0,43983,43601,0500000US72061
130,"Marshall County, Mississippi",51875,58540,58787,42948,42338,0,0,0,44394,106346,0500000US28093
131,"Clark County, Kansas",65515,66838,67132,0,0,250000,0,0,23750,60625,0500000US20025
132,"Haskell County, Kansas",69138,72895,73750,63810,0,0,0,0,70530,35750,0500000US20081
133,"Bienville Parish, Louisiana",34992,42596,42548,72656,21766,0,0,0,0,61250,0500000US22013
134,"Walker County, Georgia",55887,57873,57559,44028,41111,45066,28958,0,67958,50000,0500000US13295
135,"Wilkin County, Minnesota",69635,71199,71250,0,0,0,11458,0,0,68784,0500000US27167
136,"Randolph County, Illinois",68870,70361,70086,54667,0,0,38929,0,54375,41917,0500000US17157
137,"Kennebec County, Maine",65062,65627,65756,58860,0,44453,58750,0,68750,55438,0500000US23011
138,"Smyth County, Virginia",46859,46837,46873,0,43469,0,0,0,67656,48281,0500000US51173
139,"Roosevelt County, New Mexico",52445,52293,51570,65143,0,58438,0,0,49656,67083,0500000US35041
140,"Somerset County, Pennsylvania",59378,59509,59602,55238,0,41250,150500,0,0,59485,0500000US42111
141,"Washington County, Virginia",62774,62961,62920,116278,63697,0,0,0,0,55697,0500000US51191
142,"Guilford County, North Carolina",66027,80417,81263,59754,49303,84691,45417,0,51881,62530,0500000US37081
143,"Ada County, Idaho",88907,90043,90172,77101,66480,95839,61974,56029,70481,85933,0500000US16001
144,"Custer County, Oklahoma",57562,60768,62684,48668,58068,23455,86389,0,62667,48472,0500000US40039
145,"Marion County, Ohio",57306,58721,58927,36959,42333,0,0,0,79545,38278,0500000US39101
146,"Pike County, Illinois",58029,58129,58079,0,0,126667,0,0,11538,0,0500000US17149
147,"Woodford County, Illinois",85629,85472,85314,82241,0,0,-2500,0,55735,116071,0500000US17203
148,"Richmond County, Georgia",53197,67311,67692,61852,45052,67849,46250,40593,36313,58776,0500000US13245
149,"Vigo County, Indiana",52525,54327,54402,49808,22161,77963,57782,0,59807,38369,0500000US18167
150,"Elkhart County, Indiana",65617,72012,72810,51271,29460,85143,105476,64077,51824,52405,0500000US18039
151,"Grayson County, Virginia",42864,43323,44019,41944,0,0,0,0,0,0,0500000US51077
152,"Lubbock County, Texas",63367,69882,74381,53523,42353,85750,66563,0,49816,52606,0500000US48303
153,"Meeker County, Minnesota",75037,76720,76692,45787,0,0,0,0,0,113750,0500000US27093
154,"Kittitas County, Washington",69928,72295,72986,60526,13304,42523,88875,0,60570,64697,0500000US53037
155,"Randolph County, Indiana",61121,61827,61695,37163,0,0,70313,0,73902,42589,0500000US18135
156,"Kane County, Utah",75000,74804,73505,109405,0,0,0,0,48878,102007,0500000US49025
157,"Pennington County, Minnesota",72561,73831,74289,51250,0,0,0,0,0,68815,0500000US27113
158,"Whatcom County, Washington",80989,81107,81575,67930,105878,95106,69239,65313,81921,67286,0500000US53073
159,"Gilliam County, Oregon",64219,66375,66875,74219,0,0,0,0,0,0,0500000US41021
160,"Ocean County, New Jersey",86411,87066,87175,76731,69654,112813,59841,0,75889,79500,0500000US34029
161,"Boone County, Arkansas",54195,54847,54748,48000,0,0,0,0,130610,27438,0500000US05009
162,"Comanche County, Oklahoma",59000,60209,60684,57233,51502,57679,55445,58266,56599,64453,0500000US40031
163,"Jones County, Texas",63472,67320,68639,46489,15875,137917,0,0,41176,0,0500000US48253
164,"Grimes County, Texas",67080,80467,80662,62883,26801,0,38438,0,48611,51121,0500000US48185
165,"Genesee County, Michigan",60673,67062,67450,56190,39434,59167,56447,0,64819,61905,0500000US26049
166,"Assumption Parish, Louisiana",52546,61018,61607,113864,32448,0,61563,0,0,113239,0500000US22007
167,"Calhoun County, Mississippi",43942,53084,53084,47690,30154,0,0,0,39744,0,0500000US28013
168,"Greene County, Mississippi",55838,55765,56015,0,0,0,0,0,0,22614,0500000US28041
169,"Dallas County, Missouri",53177,52646,52976,28773,0,0,73850,0,0,64550,0500000US29059
170,"Pittsylvania County, Virginia",54115,59065,59007,57328,38905,250000,90909,0,0,55603,0500000US51143
171,"Denali Borough, Alaska",88935,88092,89605,0,0,0,141250,0,0,0,0500000US02068
172,"Pawnee County, Kansas",63625,65625,64214,110227,43090,0,0,0,0,0,0500000US20145
173,"Wyandotte County, Kansas",60582,68122,70971,59203,44704,56250,87634,0,58043,59811,0500000US20209
174,"Dixie County, Florida",47655,47682,47568,86389,0,0,0,0,0,128172,0500000US12029
175,"Tuscola County, Michigan",62847,63206,62899,65739,24500,0,0,0,36625,66786,0500000US26157
176,"Southeast Fairbanks Census Area, Alaska",74223,87361,87315,69630,0,0,35375,0,0,57298,0500000US02240
177,"Graham County, Kansas",52909,53702,54736,19031,36333,0,0,0,0,56429,0500000US20065
178,"St. Landry Parish, Louisiana",45637,54460,54676,51426,36412,110701,58750,0,77856,27470,0500000US22097
179,"Giles County, Tennessee",61476,63620,63570,0,46014,0,88859,0,-2500,72928,0500000US47055
180,"Lucas County, Ohio",60095,70161,70810,50177,35650,67866,53882,0,47818,50866,0500000US39095
181,"Mississippi County, Arkansas",53428,65941,66097,66250,34884,115714,136103,0,48041,58125,0500000US05093
182,"Rincón Municipio, Puerto Rico",25223,22438,45417,24299,26284,0,0,0,25121,25000,0500000US72117
183,"Grenada County, Mississippi",47998,62948,62948,0,34647,0,0,0,0,28375,0500000US28043
184,"Simpson County, Kentucky",57392,58582,58582,34145,54302,0,0,0,0,72578,0500000US21213
185,"Grand Isle County, Vermont",90625,91438,91688,130625,0,0,48465,0,111731,151250,0500000US50013
186,"Columbiana County, Ohio",58474,60156,60259,39745,42589,0,121705,0,39291,50139,0500000US39029
187,"Nelson County, Virginia",68525,75430,75010,0,52451,0,0,0,58558,123240,0500000US51125
188,"Osceola County, Florida",68711,72065,78018,63828,61363,90166,114942,0,57740,76916,0500000US12097
189,"Grant County, Arkansas",72512,73854,73912,101607,17604,0,0,0,97024,77500,0500000US05053
190,"DeKalb County, Indiana",70080,69891,69732,79091,0,0,0,0,56103,79205,0500000US18033
191,"Ouachita Parish, Louisiana",51241,68580,69218,52708,33712,75809,0,0,48611,54302,0500000US22073
192,"St. John the Baptist Parish, Louisiana",67418,71645,70732,83468,65479,120986,72159,0,79583,68102,0500000US22095
193,"St. Helena Parish, Louisiana",50193,70693,71113,51500,24472,0,0,0,0,54602,0500000US22091
194,"Schuyler County, Missouri",56023,55909,55932,0,0,0,0,0,0,0,0500000US29197
195,"Franklin County, Alabama",51493,53125,53911,44806,0,0,56484,0,39948,59130,0500000US01059
196,"Carroll County, Kentucky",57753,55076,55076,0,130775,0,0,0,0,71964,0500000US21041
197,"Clear Creek County, Colorado",96667,97470,100208,73365,0,250000,56875,0,0,87017,0500000US08019
198,"Kimble County, Texas",65703,65586,69779,58209,0,0,63750,0,78125,58836,0500000US48267
199,"Clay County, South Dakota",58794,63527,63527,0,0,0,53378,0,0,35341,0500000US46027
200,"Sussex County, Delaware",78162,81765,82261,54355,53106,125179,55491,0,66393,61580,0500000US10005
201,"Jasper County, Georgia",59574,69342,69342,57065,40970,0,0,0,0,0,0500000US13159
202,"Randolph County, Missouri",55310,55897,56250,45305,43047,0,0,0,0,58750,0500000US29175
203,"Butler County, Kansas",80375,80257,80061,73750,81505,203170,70661,0,65208,86380,0500000US20015
204,"Hays County, Texas",85827,88984,94492,75164,76641,114400,105259,152188,65801,76568,0500000US48209
205,"Cowlitz County, Washington",72932,74018,73978,60701,62292,86047,41691,0,59762,76358,0500000US53015
206,"Live Oak County, Texas",53869,54343,67620,34946,0,0,0,0,0,34405,0500000US48297
207,"Hooker County, Nebraska",45854,45518,45518,0,0,0,0,0,0,0,0500000US31091
208,"Prince Edward County, Virginia",55082,62905,61993,120926,34640,0,0,0,0,0,0500000US51147
209,"Carbon County, Utah",53673,53386,53804,51691,0,0,0,0,28700,65982,0500000US49007
210,"Bucks County, Pennsylvania",111951,112901,113409,83578,67367,151830,0,60250,87137,128116,0500000US42017
211,"Hand County, South Dakota",72054,71442,71544,70938,0,0,0,0,0,153393,0500000US46059
212,"Lycoming County, Pennsylvania",64412,66071,66122,72778,30395,72917,0,0,96051,73536,0500000US42081
213,"Latah County, Idaho",65179,64858,65145,36696,0,71250,0,0,74750,68733,0500000US16057
214,"Putnam County, Georgia",64163,75780,74475,64617,42500,175579,0,0,0,53508,0500000US13237
215,"Galax city, Virginia",41438,42772,45395,55024,0,0,0,0,91384,56707,0500000US51640
216,"Quay County, New Mexico",43698,50340,48861,35179,0,0,56250,0,14403,26450,0500000US35037
217,"King County, Texas",70192,67500,74688,0,0,0,0,0,0,0,0500000US48269
218,"Lafayette County, Arkansas",37237,42688,42875,0,27917,0,0,0,0,0,0500000US05073
219,"Tom Green County, Texas",66254,69786,70494,61144,52118,56469,42969,0,70326,58780,0500000US48451
220,"Butler County, Kentucky",52003,52949,53076,0,0,0,0,0,0,28705,0500000US21031
221,"Campbell County, Wyoming",95253,96285,96938,71703,0,0,161705,0,71066,100106,0500000US56005
222,"Morgan County, Georgia",85692,88561,89198,48948,72656,0,0,0,43778,0,0500000US13211
223,"Cross County, Arkansas",47012,59195,59411,0,33618,0,0,0,0,36961,0500000US05037
224,"Phillips County, Arkansas",38874,55975,55963,0,28961,0,0,0,0,45379,0500000US05107
225,"St. James Parish, Louisiana",64536,89158,89348,43361,41090,0,0,0,0,66184,0500000US22093
226,"Dubuque County, Iowa",75919,78195,78078,92024,38443,87375,0,46061,97537,61296,0500000US19061
227,"Goochland County, Virginia",118695,122839,123503,154623,72800,141250,0,0,154504,146856,0500000US51075
228,"Sherman County, Kansas",64444,65353,65652,0,0,0,0,0,0,0,0500000US20181
229,"Richland County, Ohio",57649,60323,60463,41667,29000,91000,0,0,44960,57987,0500000US39139
230,"Adams County, Illinois",64962,65489,65587,61875,34520,81638,0,0,80536,91648,0500000US17001
231,"Champaign County, Ohio",74239,74075,74024,0,68267,0,0,0,108894,83247,0500000US39021
232,"Sullivan County, New Hampshire",75929,75370,75273,0,197740,249138,0,0,88560,54805,0500000US33019
233,"Iroquois County, Illinois",62439,62458,62721,63150,96726,8918,125966,0,63641,51667,0500000US17075
234,"Poweshiek County, Iowa",64837,64916,64911,0,0,0,0,0,0,0,0500000US19157
235,"Wayne County, Ohio",71769,71725,71788,62250,64848,83899,0,0,0,68750,0500000US39169
236,"Fayette County, Georgia",108986,110478,110538,87428,107962,109830,104050,0,84771,90833,0500000US13113
237,"Hancock County, Georgia",33182,54375,54375,0,27849,0,0,0,0,0,0500000US13141
238,"Kendall County, Texas",110498,111188,109539,111852,208393,181169,0,0,76818,114288,0500000US48259
239,"Greene County, New York",74011,74412,74176,95543,27240,85500,0,0,65444,75486,0500000US36039
240,"Orange County, Virginia",94175,95358,96783,111063,83433,0,0,0,129632,121250,0500000US51137
241,"McCurtain County, Oklahoma",50175,52701,52646,53836,24236,79830,56447,64669,54048,46645,0500000US40089
242,"Tift County, Georgia",53165,66366,66697,61758,35548,0,100946,0,0,54583,0500000US13277
243,"Cass County, Nebraska",88255,89414,89344,69412,0,0,100938,0,0,75919,0500000US31025
244,"Kingsbury County, South Dakota",70221,71765,72132,22000,0,0,0,0,0,0,0500000US46077
245,"Converse County, Wyoming",79164,80246,77813,119231,0,0,0,0,0,65313,0500000US56009
246,"Herkimer County, New York",68858,69632,69857,51909,22975,44567,0,0,95250,60893,0500000US36043
247,"Logan County, North Dakota",61339,61875,61607,0,0,0,0,0,0,35417,0500000US38047
248,"Gogebic County, Michigan",49672,49842,50112,0,-2500,0,51964,0,0,65333,0500000US26053
249,"Becker County, Minnesota",71117,74189,74267,55521,65278,53438,35721,0,0,52908,0500000US27005
250,"Marshall County, Alabama",60946,62154,62557,54877,39773,105795,68526,0,53765,52774,0500000US01095
251,"Wilkinson County, Mississippi",35930,56792,56883,0,28468,0,0,0,0,24485,0500000US28157
252,"Yakutat City and Borough, Alaska",80625,115417,115417,97188,0,130556,58269,0,0,69750,0500000US02282
253,"Sheridan County, Kansas",70000,69861,69815,106250,0,0,0,0,0,73125,0500000US20179
254,"Leake County, Mississippi",48418,52900,52900,0,46055,0,58077,0,0,0,0500000US28079
255,"Caguas Municipio, Puerto Rico",30113,28745,0,30107,26741,35987,35250,0,30640,32930,0500000US72025
256,"Camuy Municipio, Puerto Rico",26094,25275,0,26166,21250,0,0,0,31997,26033,0500000US72027
257,"Clay County, Mississippi",39904,59688,59844,30972,30550,0,0,0,0,0,0500000US28025
258,"Franklin County, Mississippi",45618,52152,52152,0,25737,0,0,0,0,-2500,0500000US28037
259,"Vega Alta Municipio, Puerto Rico",25235,26379,0,25173,23050,0,0,0,23142,25045,0500000US72143
260,"Boone County, Iowa",79741,80975,81297,76058,0,0,0,0,0,70750,0500000US19015
261,"Polk County, Texas",59066,60809,60280,62885,40023,92083,53125,0,73472,59059,0500000US48373
262,"Dixon County, Nebraska",69156,71685,71739,56000,0,0,0,0,67500,45990,0500000US31051
263,"Harford County, Maryland",111317,113723,113940,99327,104375,128750,0,0,76417,102813,0500000US24025
264,"Edgefield County, South Carolina",67092,90331,90291,0,31418,0,0,0,64812,57722,0500000US45037
265,"Accomack County, Virginia",57500,68949,69176,55083,41080,0,0,0,56000,45233,0500000US51001
266,"Union County, Tennessee",61858,61920,62044,34479,0,0,0,0,0,65703,0500000US47173
267,"Mineral County, West Virginia",68049,67658,67700,0,0,0,0,0,88063,71510,0500000US54057
268,"Ashland County, Wisconsin",57645,58790,58045,100104,0,180057,48125,0,61875,50556,0500000US55003
269,"Ford County, Illinois",60782,61106,61042,80682,0,0,0,0,86471,53750,0500000US17053
270,"Emmons County, North Dakota",67368,69886,70074,0,0,0,63631,0,0,0,0500000US38029
271,"Shasta County, California",71931,73484,73346,64044,89599,83958,41892,0,60460,64957,0500000US06089
272,"Vermilion Parish, Louisiana",57537,62418,62229,69853,27450,62816,76447,0,39674,62955,0500000US22113
273,"Randolph County, Arkansas",52838,52808,52857,0,52880,0,50750,65833,0,0,0500000US05121
274,"Oneida County, Wisconsin",69621,69894,69977,23214,173472,225491,68592,0,0,58839,0500000US55085
275,"East Carroll Parish, Louisiana",28321,68068,68466,0,16690,0,0,0,0,53576,0500000US22035
276,"East Feliciana Parish, Louisiana",72899,82670,83182,85733,58750,0,0,0,0,86203,0500000US22037
277,"St. Bernard Parish, Louisiana",57638,65232,66581,42641,37922,80776,32045,0,35343,38036,0500000US22087
278,"Wharton County, Texas",66100,73631,83438,60062,29545,0,0,0,48226,66875,0500000US48481
279,"Prince of Wales-Hyder Census Area, Alaska",59079,58269,57788,58500,0,188750,60298,0,0,59006,0500000US02198
280,"Petersburg Borough, Alaska",77026,88495,88265,88750,0,60000,57917,0,0,73750,0500000US02195
281,"Floyd County, Texas",55461,55789,54662,58875,0,0,0,0,61628,45250,0500000US48153
282,"Wrangell City and Borough, Alaska",64545,65161,65645,39750,0,250000,60313,0,0,0,0500000US02275
283,"Madison County, Kentucky",62407,62607,62342,70313,56983,54375,0,0,83000,62021,0500000US21151
284,"Brunswick County, Virginia",52978,67957,67957,56303,42267,0,0,0,56218,0,0500000US51025
285,"Dyer County, Tennessee",54973,57377,57355,77590,39475,0,0,0,77655,49936,0500000US47045
286,"Gibson County, Tennessee",59009,62178,62384,50694,44025,0,11940,0,0,50708,0500000US47053
