OBJECTID,Location,median,median_white,median_white_only,median_hispanic,median_black_only,median_asian,median_native,median_native_islander,median_other,median_two_or_more,GEOIDFQ
2441,"Cabo Rojo Municipio, Puerto Rico",25720,27631,0,25732,23650,0,0,0,24481,22952,0500000US72023
2442,"Humacao Municipio, Puerto Rico",26083,27493,0,25874,24543,250000,0,0,25228,37763,0500000US72069
2443,"Juncos Municipio, Puerto Rico",28196,30615,0,28272,30644,0,0,0,24792,30559,0500000US72077
2444,"Livingston County, Kentucky",59713,60000,60025,0,0,0,0,0,0,46181,0500000US21139
2445,"Miller County, Georgia",58407,61411,61411,0,20822,0,0,0,0,83859,0500000US13201
2446,"Lincoln County, Tennessee",63115,65408,65305,72069,47705,0,0,0,0,52625,0500000US47103
2447,"Shelby County, Kentucky",82671,85154,86603,62375,53929,0,0,0,108844,68531,0500000US21211
2448,"York County, Nebraska",74058,75009,75363,62037,0,0,0,0,60547,0,0500000US31185
2449,"Adams County, Pennsylvania",81071,81516,81569,68615,66875,122045,116146,0,47067,82474,0500000US42001
2450,"Allendale County, South Carolina",31603,38750,38750,113519,26518,0,0,0,0,0,0500000US45005
2451,"Davidson County, Tennessee",75664,87519,88491,66888,54472,85802,76711,0,58915,76134,0500000US47037
2452,"Uintah County, Utah",69861,71849,71860,70143,0,71314,35238,0,0,66192,0500000US49047
2453,"Utah County, Utah",96877,99247,100721,81669,74722,76953,77115,73466,82799,88038,0500000US49049
2454,"Clay County, Indiana",67676,67482,67491,0,0,0,0,0,0,126343,0500000US18021
2455,"Kings County, New York",78548,100787,103964,59797,62400,85684,59529,80833,53321,77395,0500000US36047
2456,"Anderson County, South Carolina",64683,69077,69570,45746,42193,92788,0,0,46335,69010,0500000US45007
2457,"Carbon County, Wyoming",66721,66096,68034,53478,16125,0,68288,0,50365,83836,0500000US56007
2458,"Silver Bow County, Montana",57504,59137,59244,34815,0,0,0,0,31250,29931,0500000US30093
2459,"Stephenson County, Illinois",61943,66609,66757,52634,23966,0,33958,0,0,57171,0500000US17177
