"GEO_ID","NAME","B19001F_001E","B19001F_001M","B19001F_002E","B19001F_002M","B19001F_003E","B19001F_003M","B19001F_004E","B19001F_004M","B19001F_005E","B19001F_005M","B19001F_006E","B19001F_006M","B19001F_007E","B19001F_007M","B19001F_008E","B19001F_008M","B19001F_009E","B19001F_009M","B19001F_010E","B19001F_010M","B19001F_011E","B19001F_011M","B19001F_012E","B19001F_012M","B19001F_013E","B19001F_013M","B19001F_014E","B19001F_014M","B19001F_015E","B19001F_015M","B19001F_016E","B19001F_016M","B19001F_017E","B19001F_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US19017","Bremer County, Iowa","76","39","0","19","10","15","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","11","14","0","19","29","28","0","19","0","19","26","17",
"0500000US19019","Buchanan County, Iowa","11","10","0","19","0","19","0","19","0","19","0","19","0","19","0","19","4","7","3","5","4","6","0","19","0","19","0","19","0","19","0","19","0","19",
"0500000US19021","Buena Vista County, Iowa","630","157","57","53","9","12","7","12","4","5","41","44","34","57","42","47","75","55","24","36","42","53","12","13","132","86","77","57","63","77","11","21","0","19",
"0500000US19023","Butler County, Iowa","20","16","0","16","4","5","3","5","0","16","0","16","0","16","0","16","2","3","0","16","0","16","0","16","0","16","0","16","0","16","11","15","0","16",
"0500000US19025","Calhoun County, Iowa","30","26","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","0","15","17","20","2","3","0","15","0","15","11","13","0","15",
"0500000US19027","Carroll County, Iowa","65","55","0","19","0","19","0","19","0","19","0","19","0","19","0","19","5","6","0","19","57","54","0","19","3","5","0","19","0","19","0","19","0","19",
"0500000US19029","Cass County, Iowa","13","21","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","13","21","0","16","0","16","0","16","0","16","0","16","0","16",
"0500000US19031","Cedar County, Iowa","11","13","7","11","0","16","0","16","0","16","0","16","0","16","0","16","0","16","4","7","0","16","0","16","0","16","0","16","0","16","0","16","0","16",
"0500000US19033","Cerro Gordo County, Iowa","173","101","14","26","28","39","0","22","0","22","0","22","6","10","0","22","0","22","31","49","0","22","5","9","1","2","88","78","0","22","0","22","0","22",
"0500000US19035","Cherokee County, Iowa","22","24","14","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","8","13","0","16","0","16","0","16","0","16",
"0500000US19037","Chickasaw County, Iowa","9","9","0","16","0","16","0","16","0","16","2","3","0","16","0","16","0","16","0","16","2","3","0","16","0","16","0","16","0","16","0","16","5","8",
"0500000US19039","Clarke County, Iowa","237","167","0","15","0","15","0","15","0","15","0","15","4","7","0","15","63","86","0","15","5","7","117","119","48","86","0","15","0","15","0","15","0","15",
"0500000US19041","Clay County, Iowa","34","45","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","34","45","0","16","0","16","0","16","0","16",
"0500000US19043","Clayton County, Iowa","41","36","0","16","0","16","19","29","0","16","0","16","0","16","14","19","0","16","0","16","0","16","5","8","0","16","0","16","0","16","0","16","3","5",
"0500000US19045","Clinton County, Iowa","119","69","0","22","0","22","3","5","0","22","0","22","0","22","0","22","0","22","7","11","9","15","39","41","28","29","0","22","22","38","11","19","0","22",
"0500000US19047","Crawford County, Iowa","494","200","0","16","2","3","25","40","0","16","2","3","1","3","18","36","7","12","63","99","63","89","27","26","126","108","58","50","102","120","0","16","0","16",
"0500000US19049","Dallas County, Iowa","462","153","28","35","0","24","13","22","92","103","0","24","0","24","6","11","20","33","39","43","73","67","0","24","78","72","11","17","28","44","66","56","8","13",
