"GEO_ID","NAME","B19001D_001E","B19001D_001M","B19001D_002E","B19001D_002M","B19001D_003E","B19001D_003M","B19001D_004E","B19001D_004M","B19001D_005E","B19001D_005M","B19001D_006E","B19001D_006M","B19001D_007E","B19001D_007M","B19001D_008E","B19001D_008M","B19001D_009E","B19001D_009M","B19001D_010E","B19001D_010M","B19001D_011E","B19001D_011M","B19001D_012E","B19001D_012M","B19001D_013E","B19001D_013M","B19001D_014E","B19001D_014M","B19001D_015E","B19001D_015M","B19001D_016E","B19001D_016M","B19001D_017E","B19001D_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US47009","Blount County, Tennessee","302","115","44","60","0","32","0","32","0","32","0","32","0","32","0","32","0","32","26","40","6","9","0","32","0","32","72","86","15","25","78","61","61","64",
"0500000US47011","Bradley County, Tennessee","368","76","0","32","0","32","5","10","23","35","5","10","0","32","30","38","36","49","0","32","33","40","24","28","26","31","39","52","32","39","15","25","100","72",
"0500000US47013","Campbell County, Tennessee","47","50","0","29","0","29","1","2","0","29","0","29","0","29","20","34","0","29","0","29","0","29","0","29","26","44","0","29","0","29","0","29","0","29",
"0500000US47015","Cannon County, Tennessee","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US47017","Carroll County, Tennessee","22","22","0","25","3","8","0","25","0","25","0","25","0","25","12","18","0","25","0","25","0","25","0","25","0","25","7","11","0","25","0","25","0","25",
"0500000US47019","Carter County, Tennessee","68","50","0","32","0","32","0","32","0","32","0","32","0","32","0","32","0","32","0","32","34","44","0","32","3","35","0","32","31","36","0","32","0","32",
"0500000US47021","Cheatham County, Tennessee","26","17","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","15","23","0","29","0","29","0","29","0","29","11","13",
"0500000US47023","Chester County, Tennessee","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21",
"0500000US47025","Claiborne County, Tennessee","181","94","79","77","18","31","52","69","12","16","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","17","28","3","5",
"0500000US47027","Clay County, Tennessee","64","60","0","19","0","19","0","19","0","19","2","3","0","19","0","19","0","19","0","19","0","19","0","19","62","61","0","19","0","19","0","19","0","19",
"0500000US47029","Cocke County, Tennessee","44","32","0","29","0","29","3","7","0","29","0","29","0","29","0","29","0","29","0","29","41","33","0","29","0","29","0","29","0","29","0","29","0","29",
"0500000US47031","Coffee County, Tennessee","267","55","0","32","0","32","18","26","0","32","0","32","6","10","58","71","41","47","14","21","64","51","0","32","8","17","7","13","9","15","0","32","42","38",
"0500000US47033","Crockett County, Tennessee","10","9","0","21","0","21","0","21","0","21","0","21","3","6","0","21","6","8","0","21","0","21","0","21","0","21","1","6","0","21","0","21","0","21",
"0500000US47035","Cumberland County, Tennessee","58","55","8","21","0","32","0","32","0","32","0","32","0","32","0","32","32","38","0","32","0","32","0","32","0","32","18","30","0","32","0","32","0","32",
"0500000US47037","Davidson County, Tennessee","9084","563","749","301","178","99","79","51","95","75","104","68","347","178","316","130","358","191","272","125","815","244","853","250","1017","256","1000","252","859","208","551","169","1491","263",
"0500000US47039","Decatur County, Tennessee","12","23","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","12","23","0","21","0","21","0","21",
"0500000US47041","DeKalb County, Tennessee","31","29","0","25","0","25","0","25","20","26","0","25","0","25","0","25","0","25","0","25","0","25","0","25","11","20","0","25","0","25","0","25","0","25",
"0500000US47043","Dickson County, Tennessee","38","61","0","32","1","3","0","32","0","32","0","32","0","32","0","32","0","32","0","32","0","32","37","61","0","32","0","32","0","32","0","32","0","32",
"0500000US47045","Dyer County, Tennessee","35","42","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","2","3","0","29","0","29","33","42","0","29","0","29",
"0500000US47047","Fayette County, Tennessee","91","28","7","12","0","29","8","13","0","29","0","29","0","29","0","29","0","29","0","29","0","29","4","7","2","3","28","21","1","3","0","29","41","13",
"0500000US47049","Fentress County, Tennessee","8","14","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","8","14","0","21","0","21","0","21","0","21","0","21",
"0500000US47051","Franklin County, Tennessee","106","40","1","2","0","29","0","29","11","17","3","6","0","29","23","29","0","29","1","3","0","29","42","35","0","29","1","4","0","29","0","29","24","29",
"0500000US47053","Gibson County, Tennessee","21","21","0","32","0","32","0","32","0","32","0","32","13","19","0","32","0","32","0","32","0","32","0","32","0","32","0","32","4","8","4","9","0","32",
"0500000US47055","Giles County, Tennessee","8","10","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","5","9","0","29","0","29","3","5","0","29",
"0500000US47057","Grainger County, Tennessee","12","13","0","25","4","8","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","3","7","5","9",
"0500000US47059","Greene County, Tennessee","31","40","0","32","0","32","0","32","3","5","3","5","0","32","0","32","2","5","0","32","0","32","3","6","15","28","0","32","0","32","5","11","0","32",
"0500000US47061","Grundy County, Tennessee","2","3","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","2","3","0","21","0","21","0","21","0","21","0","21",
"0500000US47063","Hamblen County, Tennessee","216","60","11","19","0","32","0","32","0","32","0","32","7","17","0","32","0","32","0","32","30","43","24","34","27","39","5","17","0","32","38","40","74","54",
"0500000US47065","Hamilton County, Tennessee","2346","264","82","49","94","81","156","134","51","54","100","103","32","44","52","61","50","42","68","67","106","73","212","97","225","91","166","121","171","100","204","95","577","160",
