"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_002E","B19001C_002M","B19001C_003E","B19001C_003M","B19001C_004E","B19001C_004M","B19001C_005E","B19001C_005M","B19001C_006E","B19001C_006M","B19001C_007E","B19001C_007M","B19001C_008E","B19001C_008M","B19001C_009E","B19001C_009M","B19001C_010E","B19001C_010M","B19001C_011E","B19001C_011M","B19001C_012E","B19001C_012M","B19001C_013E","B19001C_013M","B19001C_014E","B19001C_014M","B19001C_015E","B19001C_015M","B19001C_016E","B19001C_016M","B19001C_017E","B19001C_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0500000US26103","Marquette County, Michigan","221","60","12","13","3","6","19","18","0","26","11","18","18","20","22","19","2","4","2","3","13","12","10","13","56","35","12","13","37","33","0","26","4","5",
"0500000US26105","Mason County, Michigan","52","35","3","5","3","5","0","20","0","20","0","20","0","20","22","28","1","2","0","20","8","10","4","6","0","20","8","15","0","20","3","4","0","20",
"0500000US26107","Mecosta County, Michigan","52","36","0","23","9","13","2","4","14","27","0","23","8","12","0","23","0","23","10","14","2","4","2","5","0","23","0","23","0","23","5","7","0","23",
"0500000US26109","Menominee County, Michigan","160","30","11","11","16","9","10","8","17","15","0","20","10","7","10","6","12","9","3","4","20","11","21","16","16","13","10","11","4","7","0","20","0","20",
"0500000US26111","Midland County, Michigan","64","43","25","34","0","26","0","26","2","3","0","26","6","9","0","26","4","5","0","26","2","3","10","16","9","10","2","3","0","26","3","6","1","3",
"0500000US26113","Missaukee County, Michigan","8","7","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","2","4","0","17","6","7","0","17","0","17","0","17",
"0500000US26115","Monroe County, Michigan","92","38","12","13","0","26","0","26","0","26","11","13","0","26","0","26","0","26","12","19","4","7","5","8","38","29","9","10","0","26","1","2","0","26",
"0500000US26117","Montcalm County, Michigan","47","29","5","7","0","26","0","26","0","26","0","26","0","26","3","5","24","26","0","26","4","6","0","26","3","4","0","26","0","26","2","3","6","8",
"0500000US26119","Montmorency County, Michigan","27","22","12","14","0","15","0","15","0","15","0","15","0","15","13","16","0","15","0","15","0","15","2","4","0","15","0","15","0","15","0","15","0","15",
"0500000US26121","Muskegon County, Michigan","450","86","24","22","5","13","16","19","61","53","0","26","55","52","7","16","13","17","98","30","28","27","32","29","67","42","16","18","21","27","7","11","0","26",
"0500000US26123","Newaygo County, Michigan","85","36","9","10","16","22","0","26","16","23","6","9","1","2","0","26","0","26","0","26","0","26","2","4","24","23","2","3","1","2","8","10","0","26",
"0500000US26125","Oakland County, Michigan","709","150","41","33","37","32","30","31","40","34","31","36","31","29","35","26","28","33","9","25","26","31","81","65","57","36","68","41","81","44","49","25","65","52",
"0500000US26127","Oceana County, Michigan","96","44","19","19","0","20","4","6","2","4","10","14","9","11","3","5","25","27","0","20","1","4","2","3","6","7","8","8","3","6","0","20","4","5",
"0500000US26129","Ogemaw County, Michigan","28","20","0","20","5","7","0","20","5","7","0","20","9","14","0","20","1","2","1","3","0","20","5","6","2","3","0","20","0","20","0","20","0","20",
"0500000US26131","Ontonagon County, Michigan","8","6","0","15","0","15","3","3","0","15","0","15","0","15","0","15","0","15","0","15","0","15","3","4","0","15","0","15","2","3","0","15","0","15",
"0500000US26133","Osceola County, Michigan","39","17","2","3","5","6","2","5","0","20","0","20","0","20","0","20","6","7","0","20","7","8","2","4","3","6","2","3","4","6","0","20","6","5",
"0500000US26135","Oscoda County, Michigan","16","14","8","12","0","15","0","15","0","15","0","15","0","15","2","3","0","15","0","15","0","15","4","7","2","3","0","15","0","15","0","15","0","15",
"0500000US26137","Otsego County, Michigan","37","20","0","20","0","20","2","3","0","20","9","10","0","20","11","16","0","20","2","4","0","20","2","4","0","20","0","20","0","20","7","11","4","7",
"0500000US26139","Ottawa County, Michigan","354","145","0","26","16","26","0","26","0","26","9","13","0","26","0","26","0","26","0","26","22","36","0","26","117","84","97","92","44","62","4","7","45","48",
"0500000US26141","Presque Isle County, Michigan","11","8","0","17","1","3","0","17","0","17","0","17","0","17","0","17","5","6","0","17","3","4","1","3","1","2","0","17","0","17","0","17","0","17",
"0500000US26143","Roscommon County, Michigan","1","2","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","1","2","0","20","0","20","0","20",
"0500000US26145","Saginaw County, Michigan","231","119","10","16","7","8","7","11","73","94","16","27","7","12","25","22","0","26","13","19","19","24","53","57","1","2","0","26","0","26","0","26","0","26",
"0500000US26147","St. Clair County, Michigan","101","42","18","21","7","10","4","8","0","26","18","18","0","26","0","26","0","26","1","3","1","3","25","25","13","16","1","2","13","20","0","26","0","26",
"0500000US26149","St. Joseph County, Michigan","65","57","0","26","0","26","0","26","1","2","4","6","2","4","0","26","0","26","1","2","0","26","56","55","0","26","0","26","1","3","0","26","0","26",
"0500000US26151","Sanilac County, Michigan","26","14","1","2","0","23","0","23","0","23","3","4","0","23","0","23","0","23","8","12","2","3","1","3","11","8","0","23","0","23","0","23","0","23",
"0500000US26153","Schoolcraft County, Michigan","290","66","11","11","11","8","3","5","13","10","53","43","19","18","5","5","21","26","2","6","9","8","24","24","29","17","20","19","58","34","12","13","0","15",
"0500000US26155","Shiawassee County, Michigan","78","44","0","26","0","26","10","13","0","26","0","26","0","26","15","20","1","2","0","26","9","14","0","26","6","10","9","12","0","26","26","27","2","3",
"0500000US26157","Tuscola County, Michigan","29","19","2","3","0","26","0","26","0","26","0","26","2","3","1","2","4","7","0","26","6","10","0","26","11","12","2","3","0","26","1","3","0","26",
"0500000US26159","Van Buren County, Michigan","185","57","38","31","0","26","3","5","4","6","0","26","7","11","9","11","0","26","31","32","22","18","3","4","5","8","35","39","12","14","16","15","0","26",
"0500000US26161","Washtenaw County, Michigan","243","75","0","26","0","26","12","18","21","28","32","37","7","12","4","6","0","26","13","23","0","26","22","28","37","34","20","32","47","32","18","24","10","12",
"0500000US26163","Wayne County, Michigan","2258","288","120","63","175","82","83","72","147","88","85","55","63","39","122","104","126","69","207","114","193","111","337","128","291","103","100","56","18","20","130","112","61","36",
