"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19013I_001E","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)"
"B19013I_001M","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)"
